English,Russian,Armenian,French
principle,принцип, սկզբունք,principe
print,Распечатать, տպել,imprimer
prior,прежний, առաջ,préalable
priority,приоритет, առաջնահերթություն,priorité
private,частный, մասնավոր,privé
prize,приз, մրցանակ,prix
problem,проблема, խնդիր,problème
procedure,процедура, ընթացակարգը,procédure
process,процесс, գործընթաց,traiter
produce,производить, արտադրել,produire
product,товар, արտադրանք,produit
profession,профессия, մասնագիտություն,métier
professional,профессионал, պրոֆեսիոնալ,professionnelle
professor,профессор, պրոֆեսոր,professeur
profile,профиль, պրոֆիլը,le profil
profit,выгода, շահույթ,profit
program,программа, ծրագիրը,programme
progress,прогресс, առաջընթաց,le progrès
project,проект, նախագիծը,projet
promise,обещать, խոստում,promettre
promotion,продвижение, առաջխաղացում,promotion
prompt,быстрый, հուշել,rapide
proof,доказательство, ապացույց,preuve
property,имущество, սեփականություն,la propriété
proposal,предложение, առաջարկություն,proposition
protection,защита, պաշտպանություն,protection
psychology,психология, հոգեբանություն,psychologie
public,публичный, հանրային,Publique
pull,тяга, քաշել,tirer
punch,ударить кулаком, դակիչ,coup de poing
purchase,покупка, գնում,achat
purple,пурпурный, մանուշակագույն,mauve
purpose,цель, նպատակը,objectif
push,толкать, հրել,pousser
put,помещать, դնել,mettre
quality,качество, որակ,qualité
quantity,количество, քանակ,quantité
quarter,четверть, քառորդ,trimestre
queen,Королева, թագուհի,reine
question,вопрос, հարց,question
quiet,тихо, հանգիստ,silencieux
quit,уволиться, թողնել,quitter
quote,цитировать, մեջբերում,Devis
race,гонка, մրցավազք,course
radio,радио, ռադիո,radio
rain,дождь, անձրեւ,pluie
raise,поднимать, բարձրացնել,augmenter
range,спектр, միջակայք,intervalle
rate,ставка, տոկոսադրույքը,fréquence
ratio,соотношение, հարաբերակցությունը,rapport
raw,сырой, հում,cru
reach,достигать, հասնել,atteindre
reaction,реакция, ռեակցիա,réaction
read,читать, կարդալ,lire
reading,чтение, ընթերցանություն,en train de lire
reality,реальность, իրականություն,réalité
reason,причина, պատճառ,raison
reception,прием, ընդունելություն,ACCUEIL
recipe,рецепт блюда, բաղադրատոմսը,Recette
recognition,признание, ճանաչում,reconnaissance
recommendation,рекомендация, առաջարկություն,recommandation
record,записывать, գրառում,record
recording,запись, ձայնագրությունը,enregistrement
recover,восстанавливаться, վերականգնել,se remettre
red,красный, կարմիր,rouge
reference,Справка, հղում,référence
reflection,отражение, արտացոլումը,réflexion
refrigerator,холодильник, սառնարան,réfrigérateur
refuse,мусор, հրաժարվել,refuser
region,область, շրջան,Région
register,регистр, գրանցել,S'inscrire
regret,сожалеть, ափսոսանք,le regret
regular,обычный, կանոնավոր,régulier
relation,связь,հարաբերություն,relation
relationship,отношение, հարաբերություններ,relation amoureuse
relative,родственник, ազգական,relatif
release,выпускать, ազատում,Libération
relief,рельеф, թեթեւացում,le soulagement
remote,удаленный, հեռավոր,à distance
remove,Удалить, հեռացնել,supprimer
rent,арендная плата, վարձավճար,louer
repair,ремонт, վերանորոգում,réparation
repeat,повторение, կրկնել,répéter
replacement,замена, փոխարինում,remplacement
reply,Ответить, պատասխանել,Réponse
report,отчет, հաշվետվություն,rapport
representative,представитель, ներկայացուցիչ,représentant
republic,Республика, հանրապետություն,république
reputation,репутация, հեղինակություն,réputation
request,запрос, խնդրանք,demander
requirement,требование, պահանջը,exigence
research,исследовать, հետազոտություն,rechercher
reserve,резерв, պահուստ,réserve
resident,житель, բնակիչ,résident
resist,оказывать сопротивление, դիմադրել,résister
resolution,разрешающая способность, բանաձեւը,résolution
resolve,решать, լուծել,résoudre
resort,прибегнуть, հանգստավայր,station balnéaire
resource,ресурс, ռեսուրս,Ressource
respect,уважать, հարգանք,respect
respond,отвечать, արձագանքել,répondre
response,отклик, արձագանք,réponse
responsibility,обязанность, պատասխանատվություն,responsabilité
rest,отдых, հանգիստ,du repos
restaurant,ресторан, ռեստորան,le restaurant
result,результат, արդյունք,résultat
return,возвращаться, վերադարձ,retour
reveal,раскрыть, բացահայտել,faire apparaître
revenue,доход, եկամուտ,revenu
review,рассмотрение, վերանայում,passer en revue
revolution,революция, հեղափոխություն,révolution
reward,вознаграждение, պարգեւատրում,récompense
rice,рис, բրինձ,riz
rich,богатые, հարուստ,riche
ride,поездка, քշել,promenade
ring,звенеть, մատանի,anneau
rip,рвать, օղորմի,repose en paix
rise,подъем, բարձրանալ,monter
risk,риск, ռիսկը,risque
river,река, գետ,fleuve
road,Дорога, ճանապարհ,route
rock,рок, ռոք,rock
role,роль, դերը,rôle
roll,рулон, գլորում,rouler
roof,крыша, տանիքը,toit
room,номер, սենյակ,chambre
rope,веревка, պարան,corde
rough,грубый, կոպիտ,rugueux
round,круглый, կլոր,rond
routine,рутина, առօրյա,routine
row,строка, շարք,ligne
royal,Королевский, թագավորական,Royal
rub,руб, շփում,frotter
ruin,руина, կործանում,ruine
rule,правило, կանոն,règle
run,бег, վազել,Cours
rush,порыв, շտապել,se ruer
sad,грустный, տխուր,triste
safe,Безопасно, ապահով,sûr
safety,безопасность, անվտանգություն,sécurité
sail,плыть, առագաստ,voile
salad,салат, աղցան,salade
salary,зарплата, աշխատավարձ,salaire
sale,продажа, վաճառք,vendre
salt,соль, աղ,sel
sample,образец, նմուշ,échantillon
sand,песок, ավազ,sable
sandwich,сэндвич, սենդվիչ,sandwich
satisfaction,удовлетворение, բավարարվածություն,la satisfaction
save,спасти, փրկել,sauvegarder
savings,сбережения, խնայողություններ,des économies
scale,шкала,սանդղակ,échelle
scene,место действия, տեսարան,scène
schedule,график, ժամանակացույցը,programme
scheme,схема, սխեման,schème
school,школа, դպրոց,l'école
science,наука, գիտ,science
score,счет, միավոր,score
scratch,царапать, քերծվածք,gratter
screen,экран, էկրան,filtrer
screw,винт, պտուտակ,vis
script,сценарий, սցենար,scénario
sea,море, ծով,mer
search,поиск, որոնում,rechercher
season,время года, սեզոն,saison
seat,сиденье, նստատեղ,siège
second,второй, երկրորդ,deuxième
secret,секрет, գաղտնիք,secret
secretary,секретарь, քարտուղար,secrétaire
section,раздел, Բաժին,section
sector,сектор, հատվածը,secteur
security,безопасность, անվտանգություն,Sécurité
selection,выбор, ընտրություն,sélection
self,себя, ինքն իրեն,soi
sell,продавать, վաճառել,vendre
senior,старший, ավագ,Sénior
sense,смысл, իմաստ,sens
sensitive,чувствительный, զգայուն,sensible
sentence,приговор, նախադասություն,phrase
series,ряд, շարքը,série
serve,обслуживать, ծառայել,servir
service,оказание услуг, սպասարկում,un service
session,сессия, նիստ,session
set,установлен, հավաքածու,Positionner
setting,параметр, կարգավորումը,paramètre
sex,секс, սեքս,sexe
shake,встряхнуть, թափահարել,secouer
shame,стыд, ամոթ,la honte
shape,форма, ձեւավորել,façonner
share,Поделиться, կիսվել,partager
she,она, նա,elle
shelter,приют, ապաստան,abri
shift,сдвиг, հերթափոխ,changement
shine,блеск, փայլել,briller
ship,судно, նավ,bateau
shirt,Рубашка, վերնաշապիկ,la chemise
shock,шок, ցնցում,choc
shoe,обувь, կոշիկ,chaussure
shoot,стрелять, կրակել,tirer
shop,магазин, խանութ,magasin
shopping,поход по магазинам, գնումներ կատարել,achats
shot,выстрелил, կրակոց,tir
shoulder,плечо, ուս,épaule
show,показать, ցուցադրում,Afficher
shower,душ, ցնցուղ,douche
sick,больной, հիվանդ,malade
side,боковая сторона, կողմը,côté
sign,подписать, նշան,signe
signal,сигнал, ազդանշան,signal
signature,подпись, ստորագրությունը,Signature
significance,значимость, նշանակությունը,importance
silly,глупый, հիմար,bête
silver,Серебряный, արծաթ,argent
simple,просто, պարզ,Facile
sing,петь, երգել,chanter
singer,певец, երգչուհի,chanteuse
single,не замужем, միայնակ,Célibataire
sink,раковина, խորտակվել,couler
sir,сэр, պարոն,Monsieur
sister,сестра, քույր,sœur
site,сайт, կայք,site
situation,ситуация, իրավիճակ,situation
size,размер, չափը,Taille
skill,навык, հմտություն,compétence
skin,кожа, մաշկը,peau
skirt,юбка, կիսաշրջազգեստ,jupe
sky,небо, երկինք,ciel
sleep,спать, քնել,dormir
slice,кусочек, կտոր,tranche
slide,горка, Սլայդ,faire glisser
slip,соскальзывать, սայթաքել,glisser
smell,запах, հոտը,sentir
smile,улыбка, ժպտալ,le sourire
smoke,дымка,ծուխը,fumée
snow,снег, ձյուն,neiger
society,общество, հասարակությունը,société
sock,носок, գուլպա,chaussette
soft,мягкий, փափուկ,doux
software,программного обеспечения, ծրագրային ապահովում,Logiciel
soil,земля, հող,sol
solid,твердый, ամուր,solide
solution,решение, լուծում,la solution
somewhere,где-то, ինչ-որ տեղ,quelque part
son,сын, որդի,fils
song,песня, երգ,chanson
sort,Сортировать, տեսակավորել,trier
sound,звук, ձայն,son
soup,суп, ապուր,le potage
source,источник, աղբյուր,la source
south,юг, հարավ,sud
space,пространство, տարածություն,espacer
spare,запасной, պահեստային,de rechange
speaker,оратор, խոսնակ,conférencier
special,специальный, հատուկ,spécial
specialist,специалист, մասնագետ,spécialiste
specific,конкретный, կոնկրետ,spécifique
speech,речь, ելույթ,parole
speed,скорость, արագություն,vitesse
spell,орфографии, ուղղագրություն,épeler
spend,тратить, ծախսել,passer
spirit,дух, ոգի,esprit
spiritual,духовный, հոգեւոր,spirituel
spite,злобно, հակառակ,dépit
split,расколоть, պառակտել,diviser
sport,спорт, սպորտ,sport
spot,место, բիծ,place
spray,спрей, լակի,vaporisateur
spread,распространять, տարածվել,propagé
spring,весна, գարուն,le printemps
square,квадрат, քառակուսի,carré
stable,стабильный, կայուն,écurie
staff,штат сотрудников, անձնակազմը,Personnel
stage,сцена, փուլ,organiser
stand,стоять, կանգնել,supporter
standard,стандартный, ստանդարտ,la norme
star,звезда, աստղ,Star
start,Начало, սկսել,début
state,государство, պետություն,Etat
statement,утверждение, հայտարարություն,déclaration
station,станция, կայարան,station
status,положение дел, կարգավիճակը,statut
stay,оставаться, մնալ,rester
steak,стейк, սթեյք,bifteck
steal,воровать, գողանալ,voler
step,шаг, քայլ,marche d'escalier
stick,палка, փայտիկ,bâton
still,еще, դեռ,encore
stock,акции, պաշար,Stock
stomach,желудок, ստամոքս,estomac
stop,останавливаться, կանգ առնել,arrêter
storage,место хранения, պահեստավորում,espace de rangement
store,хранить, խանութ,boutique
storm,гроза, փոթորիկ,tempête
story,история, պատմություն,histoire
strain,напряжение, լարում,souche
stranger,незнакомец, օտար,étranger
strategy,стратегия, Ստրատեգիա,stratégie
street,улица, փողոց,rue
strength,сила, ուժ,force
stress,стресс, սթրես,stress
stretch,потягиваться, ձգվել,s'étirer
strike,забастовка, գործադուլ,frapper
string,нить, լար,chaîne de caractères
strip,полоска, քերթել,déshabiller
stroke,Инсульт, կաթված,accident vasculaire cérébral
structure,структура, կառուցվածքը,structure
struggle,борьба, պայքար,lutter
student,студент, ուսանող,étudiant
studio,студия, ստուդիա,studio
study,учиться, ուսումնասիրություն,étudier
stuff,вещи, իրեր,truc
stupid,тупой, հիմար,stupide
style,стиль, ոճը,style
subject,предмет,առարկա,matière
substance,вещество, նյութ,substance
success,успех, հաջողություն,Succès
suck,сосать, ծծել,sucer
sugar,сахар, շաքարավազ,du sucre
suggestion,предложение, առաջարկություն,suggestion
suit,подходить, կոստյում,combinaison
summer,летом, ամառ,été
sun,солнце, արև,Soleil
supermarket,супермаркет, սուպերմարկետ,supermarché
support,поддерживать, աջակցություն,Support
surgery,хирургия, վիրահատություն,opération
surprise,Сюрприз, անակնկալ,surprendre
surround,окружение, շրջապատել,entourer
survey,опрос, հարցում,sondage
suspect,подозревать, կասկածելի,suspect
sweet,сладкий, քաղցր,sucré
swim,плавать, լողալ,nager
swimming,плавание, լողալ,la natation
swing,качать, ճոճանակ,balançoire
switch,выключатель, անջատիչ,interrupteur
sympathy,сочувствие, համակրանք,sympathie
system,система, համակարգ,système
table,Таблица, սեղան,table
tackle,взяться, լուծել,s'attaquer à
tale,сказка, հեքիաթ,conte
talk,разговаривать, զրուցել,parlez
tank,бак, տանկ,Char
tap,кран, թակել,robinet
target,цель, թիրախ,cibler
task,задача, առաջադրանք,tâche
taste,вкус, համ,goûter
tax,налога, հարկային,impôt
tea,чай, թեյ,thé
teach,учить, սովորեցնել,enseigner
teacher,учитель, ուսուցիչ,prof
teaching,преподавание, ուսուցում,enseignement
team,команда, թիմը,équipe
tear,рвать, արցունքաբեր,larme
technology,технологии, տեխնոլոգիա,La technologie
telephone,телефон, հեռախոս,Téléphone
television,телевидение, հեռուստատեսություն,télévision
tell,рассказать, պատմել,dire
temperature,температура, ջերմաստիճանը,Température
temporary,временный, ժամանակավոր,temporaire
tennis,большой теннис, թենիս,tennis
tension,напряжение, լարում,tension
term,срок, ժամկետը,terme
test,тестовое задание, փորձարկում,test
text,текст, տեքստը,texte
thanks,Благодарность, շնորհակալություն,Merci
theme,тема, թեման,thème
theory,теория, տեսություն,théorie
thing,предмет, բան,chose
thought,мысль, մտածեց,pensée
throat,горло, կոկորդը,gorge
ticket,билет, տոմս,billet
tie,галстук, փողկապ,attacher
till,до, ից մինչեւ,jusqu'à
time,время, ժամանակ,temps
tip,совет, հուշում,pointe
title,заглавие, կոչում,Titre
today,сегодня, այսօր,aujourd'hui
toe,палец, քիթ,doigt de pied
tomorrow,завтра, վաղը,demain
tone,тон, տոնով,Ton
tongue,язык, լեզու,langue
tonight,сегодня вечером, այս երեկո,ce soir
tool,инструмент, գործիք,outil
tooth,зуб, ատամ,dent
top,вершина, գագաթ,Haut
topic,тема, թեմա,sujet
total,общее количество, ընդհանուր,total
touch,трогать, հպում,toucher
tough,жесткий, կոշտ,difficile
tour,тур, շրջագայություն,tour
tourist,турист, զբոսաշրջիկ,touristique
towel,полотенце, սրբիչ,serviette
tower,башня, աշտարակ,la tour
town,городок, քաղաք,ville
track,отслеживать, հետեւել,Piste
trade,торговля,առևտուր,Commerce
tradition,традиция, ավանդույթ,tradition
traffic,трафик, երթեւեկությունը,Circulation
train,тренироваться, գնացք,train
trainer,тренер, մարզիչ,entraîneur
training,тренировка, վերապատրաստում,entraînement
transition,переход, անցում,transition
transportation,транспорт, փոխադրում,transport
trash,мусор, աղբարկղ,déchets
travel,путешествовать, ճանապարհորդություն,Voyage
treat,рассматривать, բուժել,traiter
tree,дерево, ծառ,arbre
trick,обманывать, հնարք,tour
trip,путешествие, ճամփորդություն,voyage
trouble,беда, դժվարություն,difficulté
truck,грузовая машина, բեռնատար մեքենա,un camion
trust,доверять, վստահություն,confiance
truth,правда, ճշմարտություն,vérité
try,пытаться, փորձել,essayer
tune,мелодия, մեղեդի,régler
turn,повернуть, շրջադարձ,tourner
twist,крутить, շրջադարձ,torsion
two,два, երկու,deux
type,тип, տիպ,taper
uncle,дядя, հորեղբայր,oncle
understanding,понимание, ըմբռնումը,entente
union,союз, միություն,syndicat
unique,уникальный, եզակի,unique
unit,Ед. изм, միավոր,unité
university,Университет, համալսարան,université
upper,верхний, վերին,plus haut
upstairs,вверх по лестнице, վերևում,à l'étage
use,использовать, օգտագործել,utilisation
user,пользователь, օգտագործող,utilisateur
usual,обычный, սովորական,habituel
vacation,отпуск, արձակուրդ,vacances
valuable,ценный, արժեքավոր,précieux
value,стоимость, արժեքը,évaluer
variation,вариация, տատանումներ,variation
variety,разнообразие, բազմազանություն,la variété
vast,огромный, ընդարձակ,vaste
vegetable,овощ, բուսական,légume
vehicle,транспортное средство, փոխադրամիջոց,véhicule
version,версия, տարբերակը,version
video,видео, տեսանյութ,vidéo
view,Посмотреть, դիտել,vue
village,деревня, գյուղ,village
virus,вирус, վիրուս,virus
visit,посетить, այցելություն,visite
visual,визуальный, տեսողական,visuel
voice,голос, ձայն,voix
volume,объем, ծավալը,volume
wait,ждать, սպասիր,Attendez
wake,будить, արթնանալ,se réveiller
walk,ходить, քայլել,marche
wall,стена, պատ,mur
war,война, պատերազմ,guerre
warning,предупреждение, նախազգուշացում,avertissement
wash,стирать, լվանալ,laver
watch,смотреть, ժամացույց,Regardez
water,вода, ջուր,l'eau
wave,волна, ալիք,vague
way,путь, ճանապարհ,façon
weakness,слабое место, թուլություն,la faiblesse
wealth,богатство, հարստություն,richesse
wear,носить, հագնել,porter
weather,погода, եղանակ,la météo
web,веб -, վեբ,la toile
wedding,свадьба, հարսանիք,mariage
week,неделю, շաբաթ,semaine
weekend,выходные дни," շաբաթ, կիրակի",weekend
weight,масса, քաշը,poids
weird,странный, տարօրինակ,bizarre
welcome,добро пожаловать, բարի գալուստ,bienvenue
west,западный, արեւմուտք,Ouest
western,западный, արևմտյան,occidental
wheel,колесо, անիվ,la roue
whereas,тогда как, մինչդեռ,tandis que
while,пока, մինչդեռ,tandis que
white,белый, սպիտակ,blanche
whole,все, ամբողջ,entier
wife,жена,կինը,femme
will,будет, կամք,sera
win,выиграть, հաղթել,gagner
wind,ветер, քամի,vent
window,окно, պատուհան,la fenêtre
wine,вино, գինի,vin
wing,крыло, թեւը,aile
winner,Победитель, հաղթող,gagnant
winter,зима, Ձմեռ,l'hiver
wish,желание, ցանկություն,souhaiter
witness,свидетель, վկա,témoin
woman,женщина, կին,femme
wonder,удивляться, զարմանալ,merveille
wood,древесина, փայտ,bois
word,слово, բառ,mot
work,работай, աշխատանք,travail
worker,работник, բանվոր,ouvrier
working,за работой, աշխատանքային,travail
world,Мир, աշխարհ,monde
worry,волноваться, անհանգստանալ,s'inquiéter
worth,стоящий, արժե,valeur
wrap,сворачивать, պատել,envelopper
writer,писатель, գրող,écrivain
writing,пишу, գրելը,l'écriture
yard,площадка, բակ,cour
year,год, տարին,an
yellow,желтый, դեղին,jaune
yesterday,вчерашний день, երեկ,hier
you,ты, դու,toi
young,молодой, երիտասարդ,Jeune
youth,молодежь, երիտասարդություն,jeunesse
zone,зона, գոտի,zone